bcr_patient_uuid	bcr_sample_barcode	bcr_analyte_barcode	bcr_analyte_uuid	a260_a280_ratio	analyte_type	analyte_type_id	concentration	gel_image_file	is_derived_from_ffpe	normal_tumor_genotype_match	pcr_amplification_successful	ratio_28s_18s	rinvalue	spectrophotometer_method	subportion_sequence	well_number
									CDE_ID:4170571							
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-01A	TCGA-AF-5654-01A-01D	98bc9491-d7eb-46b4-a725-61284f22308c	1.90	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-01A	TCGA-AF-5654-01A-01R	a06295d3-acf4-479e-b6de-a36c46ccc4e5	1.80	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.59	8.60	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-01A	TCGA-AF-5654-01A-01T	f56ea743-7ffd-4a45-a491-18b6f351bb0a	[Not Available]	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.67	8.30	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-01A	TCGA-AF-5654-01A-01W	94a9ac3d-e9e9-4a63-9dc0-4191d6d51460	[Not Available]	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-10A	TCGA-AF-5654-10A-01D	e803ffff-31c0-4dac-97a7-c0aa39915072	1.90	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-10A	TCGA-AF-5654-10A-01W	dfb5b8ec-7117-42dc-9e37-db343e0befee	[Not Available]	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-11A	TCGA-AF-5654-11A-11D	1957a527-4e15-4a61-9ae7-bf23b0aded85	1.90	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	1	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-11A	TCGA-AF-5654-11A-11R	1c8ecec9-91b0-4165-bd2b-28847e4c8ba6	1.80	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.69	8.70	UV Spec	1	[Not Available]
5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c	TCGA-AF-5654-11A	TCGA-AF-5654-11A-11W	6825ab5c-0ddd-4846-a522-aa8b4f1bd094	[Not Available]	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	1	[Not Available]
